id	fid	name	set	type	offset	count	stride	size	index	priority	display	comment
species			species	species	0x1FEC30	412	28	28				
snames	name	Name	species	strz	0x1F7184	412	11	11			main	
pokedex			pokedex	pokedex	0x3B1874	387	36	36				
moves			moves	move	0x1FB144	355	12	9				
mnames	name	Name	moves	strz	0x1F8338	355	13	13			main	
mdesc_ptr	dptr	Description Pointer	moves	uintle	0x3C09F0	355	4	4			pointer	
mdesc	desc	Description	moves	strz	-0x8000000	355		255	mdesc_ptr		main	
evo			species	evolutions	0x203B80	412	40	40				
effectiveness			types	effectiveness	0x1F9738	112	3	3				
