id	name	offset	size	origin	type	arg	display	order	pointer	comment	
tgt	Target	0	1		uint					0: Single Enemy | 1: All Enemies | 2: Single Ally | 3: Unknown | 4: Map	
con	Consumable	1	1		uint					0: No | 1: Yes	
cost	Cost	2	2		uintle						
usr	Users	4	1		bin		koewxvjn			Bitfield. Bits in order: nil Lejes Valsu Lux Wilme Esuna Olvan Kamil	
gem	Gem	5	1		uint					Gems sell for 100% of their value	 non-gems 50%
nmp	Name Pointer	6	3		uintle	-0xC00000	pointer				
name	Name	nmp	10	root	strz		main		nmp		
